protein,X2018_MARCH_5_UWPRQE_HATCHMICRO_01_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_03_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_04_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_05_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_06_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_07_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_08_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_09_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_10_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_11_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_12_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_13_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_14_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_15_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_16_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_17_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_18_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_19_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_20_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_21_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_22_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_23_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_24_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_25_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_26_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_27_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_28_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_29_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_30_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_31_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_32_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_33_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_34_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_35_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_36_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_37_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_38_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_39_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_40_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_41_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_42_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_43_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_44_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_45_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_46_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_47_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_48_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_49_NUMSPECSTOT,protein length,uniprot annotation,blastp e-value
gene_1616599|GeneMark.hmm|211_aa|-|179|814,0,0,5,5,3,1,3,1,1,1,2,1,0,1,1,1,2,4,4,1,1,1,1,1,3,1,2,1,3,0,6,4,4,0,1,2,3,0,1,0,2,1,5,1,1,1,1,1,211,Q01372.2,7.37E-118
gene_162010|GeneMark.hmm|749_aa|+|19673|21922,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,P24724.2,0
gene_1622222|GeneMark.hmm|414_aa|-|2|1243,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,414,Q605A9.1,0
gene_162245|GeneMark.hmm|307_aa|+|3|926,0,11,5,10,9,0,10,11,15,12,9,10,2,10,11,12,8,11,10,10,9,4,9,13,14,10,8,0,7,2,8,8,14,1,11,8,6,10,8,10,14,0,9,6,17,12,10,10,307,Q47537.1,2.45E-11
gene_1626112|GeneMark.hmm|419_aa|+|1492|2751,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,419,O06875.3,6.36E-128
gene_162724|GeneMark.hmm|57_aa|-|6870|7043,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57,NA,NA
gene_1630501|GeneMark.hmm|122_aa|+|545|913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122,NA,NA
gene_163184|GeneMark.hmm|333_aa|-|32187|33188,0,2,0,1,0,0,1,0,2,2,0,0,0,1,2,1,0,0,1,0,1,0,1,2,2,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0,2,1,3,0,333,O05252.2,3.68E-52
gene_164560|GeneMark.hmm|819_aa|-|4084|6543,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,819,Q05098.1,5.50E-08
gene_1646873|GeneMark.hmm|203_aa|-|1215|1826,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,2,0,203,Q47537.1,8.72E-09
gene_1648649|GeneMark.hmm|394_aa|+|72|1256,0,2,1,1,0,0,1,0,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,0,0,0,0,2,2,0,2,0,0,3,1,2,2,0,1,1,2,1,2,1,394,Q8YJ23.2,3.70E-14
gene_1655126|GeneMark.hmm|130_aa|-|119|511,0,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,2,3,0,0,0,2,0,2,0,0,2,0,0,130,Q39709.1,6.80E-16
gene_165750|GeneMark.hmm|343_aa|-|4238|5269,0,5,2,6,2,0,4,1,0,6,1,0,4,1,4,0,0,6,4,0,0,3,1,2,7,5,0,0,0,0,1,8,9,1,0,0,3,3,1,0,5,0,4,4,3,6,6,1,343,Q52663.2,4.25E-154
gene_1659399|GeneMark.hmm|90_aa|-|11894|12166,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,2,3,0,90,P0ACF4.1,3.25E-41
gene_1661913|GeneMark.hmm|64_aa|-|1326|1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,64,NA,NA
gene_1663110|GeneMark.hmm|118_aa|-|1069|1425,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,118,Q40296.1,2.12E-08
gene_1663111|GeneMark.hmm|81_aa|-|1625|1870,0,1,3,2,3,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2,0,2,2,1,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,81,NA,NA
gene_1669784|GeneMark.hmm|529_aa|-|720|2309,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529,Q9Z7M4.1,6.95E-55
gene_1676126|GeneMark.hmm|100_aa|+|5922|6224,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Q03965.1,1.67E-09
gene_1677807|GeneMark.hmm|204_aa|+|1|615,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,204,NA,NA
gene_1683233|GeneMark.hmm|95_aa|-|3|287,0,2,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,95,NA,NA
gene_1691967|GeneMark.hmm|334_aa|+|94|1098,0,3,3,2,3,0,3,3,8,5,2,6,2,6,5,4,2,4,3,5,3,2,3,10,7,3,3,0,3,0,2,4,4,0,4,2,2,3,1,3,5,0,3,2,8,5,3,4,334,P0A3T2.1,7.75E-42
gene_1692362|GeneMark.hmm|213_aa|-|584|1225,0,0,2,1,3,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,213,Q40300.1,4.69E-26
gene_1701431|GeneMark.hmm|252_aa|-|186|944,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,252,Q8FYS6.1,4.84E-100
gene_1703256|GeneMark.hmm|325_aa|+|2|979,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,325,B3QWD9.1,8.90E-135
gene_170511|GeneMark.hmm|246_aa|-|4751|5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,246,P49397.2,1.08E-98
gene_1705489|GeneMark.hmm|194_aa|-|1|582,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,194,Q00218.2,4.11E-80
gene_170573|GeneMark.hmm|408_aa|-|821|2047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,408,Q02NB5.1,0
gene_1706518|GeneMark.hmm|314_aa|+|638|1582,0,6,5,5,4,0,4,4,9,4,4,5,0,6,7,7,6,5,1,6,7,3,6,8,5,6,6,0,2,1,4,1,3,0,4,3,3,6,2,3,3,0,3,1,7,5,4,4,314,NA,NA
gene_170826|GeneMark.hmm|173_aa|-|1|519,0,4,0,0,3,0,5,3,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,3,1,0,0,3,0,5,0,1,0,0,5,0,1,0,0,3,0,4,0,0,3,1,0,173,Q60214.1,5.09E-14
gene_171717|GeneMark.hmm|317_aa|+|3744|4697,0,7,0,4,3,0,7,2,6,3,4,3,0,4,6,2,4,8,0,2,5,0,7,5,9,4,2,0,1,0,1,3,5,0,3,2,1,6,3,2,8,0,1,1,9,9,5,3,317,NA,NA
gene_1718123|GeneMark.hmm|111_aa|+|275|610,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,P51821.2,6.29E-44
gene_1723301|GeneMark.hmm|376_aa|-|3|1130,15,0,0,3,0,0,0,0,0,0,2,2,1,2,5,1,2,0,0,1,3,0,5,0,0,1,0,12,0,0,0,2,2,0,1,0,0,5,3,1,0,15,1,2,0,0,1,0,376,A5U9R1.1,0
gene_1724868|GeneMark.hmm|182_aa|+|1|549,0,5,1,3,1,0,3,3,6,2,0,2,0,3,5,2,0,4,2,2,3,1,5,4,2,6,3,0,1,0,1,3,2,0,1,1,2,4,2,4,3,0,2,1,8,6,4,5,182,E0SCY3.1,5.04E-06
gene_1728567|GeneMark.hmm|306_aa|-|1|918,3,4,2,3,1,0,1,1,1,8,1,1,1,1,2,0,0,3,3,1,0,1,2,2,6,9,1,1,1,0,1,8,7,0,2,1,3,2,1,1,3,1,1,1,2,6,6,1,306,A5CW32.1,0
gene_1730443|GeneMark.hmm|638_aa|+|14474|16390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,638,P0AAI3.1,0
gene_1731680|GeneMark.hmm|476_aa|+|162|1592,0,2,2,6,8,0,8,6,1,1,0,0,1,0,0,0,0,4,2,0,0,0,0,1,6,0,0,0,6,0,5,7,7,0,0,7,4,0,0,1,8,0,7,0,1,4,0,0,476,P90519.1,7.15E-115
gene_1731869|GeneMark.hmm|162_aa|+|2|490,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,NA,NA
gene_1731911|GeneMark.hmm|533_aa|+|1|1602,0,3,1,1,0,0,2,1,2,0,0,1,0,2,3,1,1,0,0,3,1,1,3,4,2,3,2,0,1,0,1,1,0,0,2,1,1,4,1,3,3,0,1,1,4,3,4,1,533,Q9X4Y1.2,1.98E-20
gene_1732242|GeneMark.hmm|159_aa|+|2021|2500,0,3,5,3,2,0,3,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,3,0,0,0,3,0,4,4,5,0,0,3,5,0,0,0,6,0,4,0,0,3,0,0,159,A0T0C6.1,3.22E-81
gene_1732243|GeneMark.hmm|121_aa|+|2500|2865,0,7,5,7,8,0,6,5,0,1,0,0,0,0,0,0,0,8,5,0,1,0,0,0,6,1,0,0,7,0,5,4,5,0,0,6,6,0,0,0,5,0,6,0,0,5,0,0,121,P00110.1,3.71E-54
gene_1732245|GeneMark.hmm|185_aa|+|4078|4635,0,3,3,2,2,0,3,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,1,0,3,3,2,0,0,2,2,0,0,0,2,0,1,0,0,1,0,0,185,P49483.1,1.05E-80
gene_1732250|GeneMark.hmm|411_aa|-|8769|10004,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,411,P49469.1,1.69E-137
gene_1732251|GeneMark.hmm|457_aa|-|10289|11662,0,6,10,7,10,1,9,7,1,2,0,0,1,0,0,0,0,7,9,0,1,1,0,1,5,1,0,0,7,1,11,9,6,1,0,6,9,1,0,1,8,0,7,1,1,4,1,0,457,P49472.1,0
gene_1732252|GeneMark.hmm|356_aa|-|11646|12716,0,5,5,4,6,0,6,5,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,0,0,6,0,4,3,5,0,0,3,6,0,0,0,7,0,6,0,0,4,0,0,356,P49478.1,0
gene_1732255|GeneMark.hmm|602_aa|-|13799|15607,0,2,5,4,5,1,3,3,1,1,1,2,0,0,1,1,1,5,3,1,0,1,1,1,3,1,1,1,3,1,1,3,4,1,0,2,2,1,1,0,2,1,3,1,0,2,1,1,602,Q7U3C4.1,0
gene_1732281|GeneMark.hmm|409_aa|+|29689|30918,3,1,4,4,4,0,3,4,0,0,0,0,0,0,1,0,0,4,5,0,0,0,1,1,4,0,0,1,2,0,2,5,5,0,1,2,6,1,0,0,6,1,3,0,1,1,0,0,409,P51287.1,0
gene_1732283|GeneMark.hmm|102_aa|-|31376|31684,0,1,3,2,2,0,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,2,2,2,0,0,3,2,0,0,0,1,0,3,0,0,1,0,0,102,O98450.3,5.07E-44
gene_1732284|GeneMark.hmm|509_aa|+|31930|33459,0,8,9,12,11,0,13,13,0,1,0,0,0,0,1,0,1,12,15,0,1,1,1,1,7,0,0,0,11,0,13,15,15,0,0,12,13,1,0,1,13,0,13,1,0,10,2,0,509,P49471.1,0
gene_1732286|GeneMark.hmm|67_aa|+|33957|34160,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,1,2,0,0,0,1,0,2,0,0,1,0,0,67,P49475.1,5.07E-31
gene_1732287|GeneMark.hmm|67_aa|-|34246|34449,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,67,O19924.1,5.54E-26
gene_1732288|GeneMark.hmm|698_aa|+|34647|36743,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,698,O78516.1,0
gene_1732290|GeneMark.hmm|215_aa|+|38345|38992,0,1,3,3,2,0,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,215,Q71KN3.1,9.85E-149
gene_1732292|GeneMark.hmm|129_aa|-|39583|39972,0,0,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,2,4,0,0,0,3,0,3,0,0,3,0,0,129,Q1XDE8.1,3.96E-42
gene_1732293|GeneMark.hmm|228_aa|-|40029|40715,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,P49544.1,4.17E-95
gene_1732299|GeneMark.hmm|737_aa|-|43458|45671,0,3,5,5,4,0,5,4,0,0,0,0,0,0,0,0,0,5,7,0,1,0,0,0,3,0,0,0,4,0,4,6,3,0,0,4,5,0,0,0,6,0,5,0,0,2,0,0,737,O78507.1,0
gene_1732300|GeneMark.hmm|736_aa|-|45693|47903,0,2,5,3,5,0,5,5,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,2,0,0,0,7,0,4,4,4,0,0,7,6,0,0,0,5,0,5,0,0,3,0,0,736,A0T0M8.1,0
gene_1732301|GeneMark.hmm|121_aa|-|48086|48451,0,7,5,5,7,0,6,5,0,1,0,0,0,0,0,0,0,7,5,0,1,0,0,0,6,1,0,0,6,0,5,5,5,0,0,5,5,0,0,0,5,0,6,0,0,5,0,0,121,P00110.1,7.56E-55
gene_1734797|GeneMark.hmm|157_aa|+|2598|3071,2,7,7,9,14,2,8,5,4,3,3,7,2,3,2,2,2,8,4,8,2,4,2,8,5,5,3,2,6,2,17,8,7,4,6,5,3,1,2,1,3,0,18,1,4,4,4,3,157,P79781.3,2.46E-81
gene_1737125|GeneMark.hmm|752_aa|+|1883|4141,0,2,4,2,5,0,6,6,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,3,0,0,0,6,0,5,4,4,0,0,8,6,0,0,0,6,0,4,0,0,2,0,0,752,Q4G3F6.1,0
gene_1737126|GeneMark.hmm|734_aa|+|4172|6376,0,3,2,2,3,0,4,2,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,0,0,4,0,3,4,3,0,0,5,3,0,0,0,4,0,3,0,0,1,0,0,734,Q4G3F5.1,0
gene_1737131|GeneMark.hmm|819_aa|+|9200|11659,0,0,2,2,2,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,2,3,0,0,3,1,0,0,0,4,0,0,0,0,1,0,0,819,O78410.1,0
gene_1737133|GeneMark.hmm|476_aa|-|12144|13574,1,5,6,9,10,0,14,12,1,1,0,1,0,0,0,0,0,15,9,0,0,0,0,1,8,1,0,1,12,0,8,11,12,1,1,11,10,1,0,1,16,1,10,1,0,8,1,0,476,Q4G3C8.1,0
gene_1737136|GeneMark.hmm|509_aa|+|14932|16461,0,3,5,4,7,0,8,6,0,1,0,0,0,0,1,0,1,8,5,0,1,1,1,1,3,0,0,0,11,0,8,9,8,0,0,8,6,1,0,1,8,0,7,1,0,6,2,0,509,P49471.1,0
gene_1737139|GeneMark.hmm|54_aa|-|17459|17623,0,2,3,2,1,0,2,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,2,0,0,0,3,0,3,2,2,0,0,2,1,0,0,1,2,0,2,0,0,2,0,0,54,Q4G3C1.1,9.59E-34
gene_1737141|GeneMark.hmm|184_aa|+|19718|20272,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,184,O78457.1,3.31E-79
gene_1737155|GeneMark.hmm|499_aa|+|37021|38520,0,2,3,4,5,0,5,1,0,1,0,0,0,0,0,0,0,6,4,0,0,0,1,0,4,0,0,0,4,0,4,6,5,0,0,6,3,0,0,0,6,0,2,0,0,1,1,0,499,Q4G397.1,0
gene_1737156|GeneMark.hmm|139_aa|-|39133|39552,0,5,1,4,9,0,8,4,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,6,0,0,0,4,0,6,4,6,0,0,3,2,0,0,0,7,0,9,0,0,5,0,0,139,Q08052.1,3.34E-90
gene_1737157|GeneMark.hmm|488_aa|-|39639|41105,0,8,7,12,17,0,14,11,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,9,0,0,0,8,0,16,10,8,0,0,9,10,0,0,0,15,0,14,0,0,9,0,0,488,Q08051.1,0
gene_1737163|GeneMark.hmm|312_aa|+|48055|48993,0,1,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,312,Q4G3D7.1,0
gene_1740708|GeneMark.hmm|128_aa|+|3705|4091,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,P51821.2,2.08E-83
gene_1741684|GeneMark.hmm|246_aa|-|21|761,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,246,C5BPV5.1,4.68E-116
gene_1742278|GeneMark.hmm|393_aa|-|4807|5988,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,393,Q8YJ23.2,1.62E-22
gene_1742287|GeneMark.hmm|267_aa|-|15057|15860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,267,P35120.2,1.16E-35
gene_1745500|GeneMark.hmm|90_aa|-|2124|2396,0,2,0,2,1,0,2,1,2,2,0,0,0,0,0,0,0,2,1,1,0,0,0,1,3,1,0,0,1,0,0,1,2,0,1,0,1,1,1,0,2,0,1,0,1,3,1,0,90,P52681.1,2.76E-30
gene_1745735|GeneMark.hmm|799_aa|+|105|2504,0,8,0,4,1,1,4,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,7,1,1,0,2,2,3,3,2,1,1,1,0,0,0,0,3,0,3,0,3,6,1,0,799,O16025.1,6.53E-42
gene_1752037|GeneMark.hmm|147_aa|-|2|442,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,147,P58068.1,4.85E-20
gene_1752321|GeneMark.hmm|550_aa|+|1705|3357,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,550,NA,NA
gene_175422|GeneMark.hmm|873_aa|+|722|3343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,873,Q8Z314.1,9.11E-15
gene_1756463|GeneMark.hmm|203_aa|+|3|614,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,203,NA,NA
gene_1757239|GeneMark.hmm|640_aa|+|3|1925,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,640,NA,NA
gene_1758166|GeneMark.hmm|103_aa|-|3571|3882,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,P02350.2,3.22E-45
gene_1761648|GeneMark.hmm|645_aa|+|556|2493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,645,Q1QUF9.1,0
gene_1763181|GeneMark.hmm|293_aa|-|1|879,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,293,A0LRL8.1,8.86E-165
gene_1767753|GeneMark.hmm|420_aa|+|171|1433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,420,Q2S9R4.1,0
gene_1772660|GeneMark.hmm|337_aa|+|4842|5855,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,2,3,2,0,0,1,0,0,0,0,3,0,2,0,0,1,1,0,337,P35007.1,3.50E-174
